                   0|                         0|
                   1|                         1|
                  12|                        12|
                 123|                       123|
                1234|                     1,234|
               12345|                    12,345|
              123456|                   123,456|
             1234567|                 1,234,567|
            12345678|                12,345,678|
           123456789|               123,456,789|
          1234567890|             1,234,567,890|
         12345678901|            12,345,678,901|
        123456789012|           123,456,789,012|
       1234567890123|         1,234,567,890,123|
      12345678901234|        12,345,678,901,234|
     123456789012345|       123,456,789,012,345|
    1234567890123456|     1,234,567,890,123,456|
   12345678901234567|    12,345,678,901,234,567|
  123456789012345678|   123,456,789,012,345,678|
 1234567890123456789| 1,234,567,890,123,456,789|
 9223372036854775807| 9,223,372,036,854,775,807|
                   0|                         0|
                  -1|                        -1|
                 -12|                       -12|
                -123|                      -123|
               -1234|                    -1,234|
              -12345|                   -12,345|
             -123456|                  -123,456|
            -1234567|                -1,234,567|
           -12345678|               -12,345,678|
          -123456789|              -123,456,789|
         -1234567890|            -1,234,567,890|
        -12345678901|           -12,345,678,901|
       -123456789012|          -123,456,789,012|
      -1234567890123|        -1,234,567,890,123|
     -12345678901234|       -12,345,678,901,234|
    -123456789012345|      -123,456,789,012,345|
   -1234567890123456|    -1,234,567,890,123,456|
  -12345678901234567|   -12,345,678,901,234,567|
 -123456789012345678|  -123,456,789,012,345,678|
-1234567890123456789|-1,234,567,890,123,456,789|
-9223372036854775807|-9,223,372,036,854,775,807|
