Enter two integers greater than 0: 
 Value     Value^2    Value^3
-----------------------------
    3           9          27
    6          36         216
    9          81         729
   12         144        1728
   15         225        3375
   18         324        5832
   21         441        9261
   24         576       13824
   27         729       19683
   30         900       27000
   33        1089       35937
   36        1296       46656
   39        1521       59319
   42        1764       74088
   45        2025       91125
   48        2304      110592
